SCATS_Site,Location,Days,Data_Points
2000,WARRIGAL_RD N of TOORAK_RD,29,10944
2200,UNION_RD N of MAROONDAH_HWY,31,11904
2820,EARL_ST SE of PRINCESS_ST,31,5856
2825,BURKE_RD S of EASTERN_FWY,31,2976
2827,BULLEEN_RD N of THOMPSONS_RD,31,11904
2846,S.E.ARTERIAL N OF HIGH_ST,31,11904
3001,HIGH_ST NE of BARKERS_RD,31,9120
3002,DENMARK_ST N of BARKERS_RD,26,9984
3120,BURKE_RD N of CANTERBURY_RD,31,11904
3122,CANTERBURY_RD E of STANHOPE_GV,31,8928
3126,CANTERBURY_RD E of WARRIGAL_RD,31,8928
3127,BALWYN_RD N of CANTERBURY_RD,26,7488
3180,DONCASTER_RD E of BALWYN_RD,31,8928
3662,PRINCESS_ST N of HIGH_ST,31,11904
3682,WARRIGAL_RD N OF RIVERSDALE_RD,29,11136
3685,WARRIGAL_RD N of HIGHBURY_RD,31,7968
3804,TRAFALGAR_RD N of RIVERSDALE_RD,31,11904
3812,TRAFALGAR_RD NE of CAMBERWELL_RD,31,11904
4030,BURKE_RD S of DONCASTER_RD,31,8928
4032,BURKE_RD N of HARP_RD,31,11904
4034,BURKE_RD N OF WHITEHORSE_RD,31,11904
4035,BURKE_RD N of MONT ALBERT_RD,31,11904
4040,BURKE_RD N of RIVERSDALE_RD,31,17856
4043,BURKE_RD N of TOORAK_RD,31,11904
4051,DONCASTER_RD E of BULLEEN_RD,31,8928
4057,BALWYN_RD N OF BELMORE_RD,31,11712
4063,BALWYN_RD N OF WHITEHORSE_RD,31,11904
4262,BRIDGE_RD SW of BURWOOD_RD,26,2496
4263,POWER_ST N of BURWOOD_RD,26,9984
4264,GLENFERRIE_RD N of BURWOOD_RD,31,11040
4266,AUBURN_RD N of BURWOOD_RD,31,11904
4270,GLENFERRIE_RD N of RIVERSDALE_RD,31,11904
4272,RIVERSDALE_RD E of TOORONGA_RD,30,8640
4273,TOORONGA_RD N of TOORAK_RD,31,5952
4321,HIGH_ST NE OF HARP_ST,31,11904
4324,COTHAM_RD E OF GLENFERRIE_RD,31,8928
4335,HIGH_ST NE of CHARLES_ST,31,5952
4812,SWAN_ST NE of MADDEN_GV,26,7488
4821,WALMER_ST N OF VICTORIA_ST,31,11904
970,WARRIGAL_RD N of HIGH STREET_RD,31,11808
